Name,Event,OlypQualTime,OlypRecord,Final,Heat,Semi,AvgTime,SDTime,RelTime_OQT,RelTime_ORT,Podium,RelTime_OQT_LR,RelTime_ORT_LR
SMITH Kieran,Men's 200m Freestyle,6440,6180,6312,6380,6307,6333,40.77989701,-0.016895626,0.024159166,0,1,0
RAPSYS Danas,Men's 200m Freestyle,6440,6180,6378,6384,6332,6364.666667,28.44878439,-0.011836179,0.02901435,0,1,0
MILAK Kristof,Men's 200m Butterfly,7000,6690,6685,6838,6742,6755,77.32399369,-0.03626943,0.009622502,1,1,0
GREENBANK Luke,Men's 200m Backstroke,7090,6810,6912,6903,6938,6917.666667,18.17507451,-0.024912061,0.015564015,1,1,0
HONDA Tomoru,Men's 200m Butterfly,7000,6690,6853,6910,6931,6898,40.36087214,-0.014786895,0.030153668,1,1,0
BURDISSO Federico,Men's 200m Butterfly,7000,6690,6885,6914,6911,6903.333333,15.94783162,-0.014002897,0.030902945,1,1,0
KENDERESI Tamas,Men's 200m Butterfly,7000,6690,6892,6918,6917,6909,14.73091986,-0.013171226,0.031697785,0,1,0
de DEUS Leonardo,Men's 200m Butterfly,7000,6690,6919,6923,6937,6926.333333,9.451631253,-0.010635738,0.034120988,0,1,0
LEDECKY Kathleen,Women's 200m Freestyle,7110,6830,6921,6928,6934,6927.666667,6.506407099,-0.026319588,0.014098061,0,1,0
OLEKSIAK Penny,Women's 200m Freestyle,7110,6830,6910,6938,6999,6949,45.50824101,-0.023168801,0.017124766,1,1,0
BENTZ Gunnar,Men's 200m Butterfly,7000,6690,6946,6946,6928,6940,10.39230485,-0.008645533,0.036023055,0,1,0
RYLOV Evgeny,Men's 200m Backstroke,7090,6810,6807,6962,6885,6884.666667,77.50053763,-0.029824731,0.010845357,1,1,0
YANG Junxuan,Women's 200m Freestyle,7110,6830,6901,6977,6998,6958.666667,51.03266928,-0.021747461,0.018490132,0,1,0
CHMIELEWSKI Krzysztof,Men's 200m Butterfly,7000,6690,6988,6977,6929,6964.666667,31.37408697,-0.005073227,0.039437159,0,1,0
WILSON Madison,Women's 200m Freestyle,7110,6830,6999,6987,7018,7001.333333,15.63116545,-0.015520853,0.024471529,0,1,0
TITMUS Ariarne,Women's 200m Freestyle,7110,6830,6830,6988,6922,6913.333333,79.35573913,-0.028447445,0.012054002,1,1,0
le CLOS Chad,Men's 200m Butterfly,7000,6690,6933,6996,6906,6945,46.18441296,-0.007919366,0.036717063,0,1,0
MEFFORD Bryce,Men's 200m Backstroke,7090,6810,6949,6997,6997,6981,27.71281292,-0.015613809,0.024495058,0,1,0
SEEMANOVA Barbora,Women's 200m Freestyle,7110,6830,6945,6998,6974,6972.333333,26.53927907,-0.019744705,0.020414017,0,1,0
HAUGHEY Siobhan Bernadette,Women's 200m Freestyle,7110,6830,6872,7008,6916,6932,69.39740629,-0.025678015,0.014714368,1,1,0
KAWECKI Radoslaw,Men's 200m Backstroke,7090,6810,6999,7043,7028,7023.333333,22.36813209,-0.009492169,0.030374941,0,1,0
MURPHY Ryan,Men's 200m Backstroke,7090,6810,6855,7052,6938,6948.333333,98.90567897,-0.020388582,0.019908851,1,1,0
PELLEGRINI Federica,Women's 200m Freestyle,7110,6830,6991,7053,7004,7016,32.69556545,-0.013397948,0.026510832,0,1,0
IRIE Ryosuke,Men's 200m Backstroke,7090,6810,7052,7057,7029,7046,14.93318452,-0.006244678,0.033494181,0,1,0
GARCIA SAIZ Nicolas,Men's 200m Backstroke,7090,6810,7146,7082,6995,7074.333333,75.79138034,-0.002214579,0.037365123,0,1,0
TELEGDY Adam,Men's 200m Backstroke,7090,6810,6975,7090,6979,7014.666667,65.27122899,-0.010739403,0.029176963,0,1,0
STUBBLETY-COOK Izaac,Men's 200m Breaststroke,7830,7600,7598,7657,7655,7636.666667,33.50124376,-0.025316456,0.004801397,1,1,0
