Name,Event,Final,Heat,Semi,RoundsCompare,Time
HWANG Sunwoo,Men's 200m Freestyle,105.26,104.62,105.53,Semis vs Finals,0.002558514
HWANG Sunwoo,Men's 200m Freestyle,105.26,104.62,105.53,Heats vs Finals,-0.006117377
RAPSYS Danas,Men's 200m Freestyle,105.78,105.84,105.32,Semis vs Finals,-0.004367641
RAPSYS Danas,Men's 200m Freestyle,105.78,105.84,105.32,Heats vs Finals,5.67E-04
DRESSEL Caeleb,Men's 50m Freestyle,1267,1292,1302,Semis vs Finals,0.02688172
DRESSEL Caeleb,Men's 50m Freestyle,1267,1292,1302,Heats vs Finals,0.019349845
MANAUDOU Florent,Men's 50m Freestyle,1315,1325,1313,Semis vs Finals,-0.001523229
MANAUDOU Florent,Men's 50m Freestyle,1315,1325,1313,Heats vs Finals,0.00754717
FRATUS Bruno,Men's 50m Freestyle,1317,1327,1320,Semis vs Finals,0.002272727
FRATUS Bruno,Men's 50m Freestyle,1317,1327,1320,Heats vs Finals,0.007535795
ANDREW Michael,Men's 50m Freestyle,1320,1349,1327,Semis vs Finals,0.005275057
ANDREW Michael,Men's 50m Freestyle,1320,1349,1327,Heats vs Finals,0.021497405
PROUD Benjamin,Men's 50m Freestyle,1332,1353,1327,Semis vs Finals,-0.003767898
PROUD Benjamin,Men's 50m Freestyle,1332,1353,1327,Heats vs Finals,0.015521064
GKOLOMEEV Kristian,Men's 50m Freestyle,1332,1326,1320,Semis vs Finals,-0.009090909
GKOLOMEEV Kristian,Men's 50m Freestyle,1332,1326,1320,Heats vs Finals,-0.004524887
ZAZZERI Lorenzo,Men's 50m Freestyle,1338,1346,1335,Semis vs Finals,-0.002247191
ZAZZERI Lorenzo,Men's 50m Freestyle,1338,1346,1335,Heats vs Finals,0.005943536
de BOER Thom,Men's 50m Freestyle,1339,1335,1338,Semis vs Finals,-7.47E-04
de BOER Thom,Men's 50m Freestyle,1339,1335,1338,Heats vs Finals,-0.002996255
McKEOWN Kaylee,Women's 100m Backstroke,3467,3508,3491,Semis vs Finals,0.006874821
McKEOWN Kaylee,Women's 100m Backstroke,3467,3508,3491,Heats vs Finals,0.011687571
MASSE Kylie,Women's 100m Backstroke,3492,3497,3489,Semis vs Finals,-8.60E-04
MASSE Kylie,Women's 100m Backstroke,3492,3497,3489,Heats vs Finals,0.001429797
SMITH Regan,Women's 100m Backstroke,3485,3516,3506,Semis vs Finals,0.005989732
SMITH Regan,Women's 100m Backstroke,3485,3516,3506,Heats vs Finals,0.008816837
WHITE Rhyan Elizabeth,Women's 100m Backstroke,3523,3542,3526,Semis vs Finals,8.51E-04
WHITE Rhyan Elizabeth,Women's 100m Backstroke,3523,3542,3526,Heats vs Finals,0.005364201
SEEBOHM Emily,Women's 100m Backstroke,3525,3566,3539,Semis vs Finals,0.00395592
SEEBOHM Emily,Women's 100m Backstroke,3525,3566,3539,Heats vs Finals,0.011497476
DAWSON Kathleen,Women's 100m Backstroke,3550,3549,3536,Semis vs Finals,-0.003959276
DAWSON Kathleen,Women's 100m Backstroke,3550,3549,3536,Heats vs Finals,-2.82E-04
TOUSSAINT Kira,Women's 100m Backstroke,3551,3561,3549,Semis vs Finals,-5.64E-04
TOUSSAINT Kira,Women's 100m Backstroke,3551,3561,3549,Heats vs Finals,0.0028082
GORBENKO Anastasia,Women's 100m Backstroke,3593,3630,3570,Semis vs Finals,-0.006442577
GORBENKO Anastasia,Women's 100m Backstroke,3593,3630,3570,Heats vs Finals,0.010192837
MACNEIL Margaret,Women's 100m Butterfly,3359,3415,3416,Semis vs Finals,0.016686183
MACNEIL Margaret,Women's 100m Butterfly,3359,3415,3416,Heats vs Finals,0.016398243
